actual,predicted
0.25,0.181497263
0.05,0.029346326
0.15,0.202222469
0.46,0.386161738
0.45,0.190200814
0.23,0.30657792
0.08,0.124063776
0.08,0.110209205
0.2,0.310034861
0.73,0.547481654
0.17,0.142484397
0.07,0.1026747
0.83,0.910934224
0.1,0.15899831
0.25,0.149758573
0.12,0.318236525
0.25,0.215575377
0.3,0.282128871
0.02,0.102797241
0.19,0.137083218
0.36,0.418890501
0.12,0.131495933
0.01,0.109832417
0.06,0.118770426
0.1,0.104031861
0.1,0.246618227
0.21,0.135878251
0.1,0.072652885
0.07,0.117937003
0.02,0.097521166
0.03,0.101355732
0.01,0.110307167
0.41,0.553281603
0.26,0.360064682
0.42,0.436940578
0.18,0.280185395
0.13,0.111748382
0.29,0.179273079
0.68,0.364633795
0.05,0.103153176
0.16,0.260239385
0.26,0.17314732
0.19,0.105894689
0.03,0.100839534
0.15,0.088130972
0.29,0.361847452
0.01,0.092903572
0.66,0.496136874
0.05,0.098909301
0.27,0.14630826
0.49,0.304416931
0.08,0.187015523
0.04,0.118905295
0.16,0.451131354
0.06,0.114176224
0.04,0.096540688
0.31,0.41378109
0.36,0.491370827
0.05,0.097524702
0.16,0.10861162
0.1,0.377724028
0.74,0.467707143
0.19,0.209971378
0.63,0.401395276
0.42,0.602145162
0.04,0.182721704
0.06,0.112477929
0.2,0.17880385
0.88,0.805824881
0.12,0.103164824
0.11,0.307306339
0.27,0.322274962
0.02,0.120983953
0.37,0.123720434
0.18,0.242238675
0.04,0.095717197
0.12,0.203930207
0.32,0.281432348
0.54,0.544295994
0.18,0.230508216
0.25,0.196753103
0.7,0.465213394
0.22,0.256475273
1,0.548767352
0.03,0.15305906
0.74,0.601206605
0.63,0.529489031
0.05,0.096869806
0.09,0.254354592
0.04,0.094089579
0.93,0.611086779
0.19,0.30680221
0.06,0.116413341
0.03,0.196432146
0.1,0.219047648
0.53,0.152111772
0.59,0.501048781
0.67,0.754967848
0.01,0.109890515
0.05,0.112440942
0.14,0.156822338
0.35,0.553515415
0.17,0.176121399
0.05,0.106532632
0.69,0.134203573
0.11,0.121758122
0.24,0.194951756
0.35,0.320275073
0.27,0.422362496
0.13,0.114719066
0.36,0.459788945
0.34,0.602564666
0.08,0.201788922
0.05,0.125687382
0.03,0.114182015
0.03,0.129871998
0.12,0.220040186
0.06,0.089510184
0.32,0.219956764
0.19,0.232189986
0.14,0.364198365
0.51,0.506691304
0.01,0.096316011
0.59,0.339780052
0.09,0.112081727
0.1,0.186191342
0.09,0.203003318
0.03,0.107379683
0.28,0.35405529
0.1,0.143159556
0.12,0.120129688
0.67,0.707379057
0.02,0.090170301
0.29,0.263752906
0.36,0.345817867
0.11,0.140565669
0.03,0.141653262
0.35,0.289906432
0.25,0.277363078
0.06,0.149336368
0.45,0.139094051
0.23,0.375401198
0.32,0.348015037
0.04,0.120994849
0.02,0.093140992
0.16,0.117937041
0.12,0.150800828
0.2,0.219156723
0.51,0.41262927
0.18,0.158467006
0.3,0.503425745
0.37,0.47026998
0.31,0.371029881
0.04,0.125219736
0.18,0.282480459
0.48,0.234098152
0.09,0.17322062
0.07,0.136234591
0.27,0.328071485
0.3,0.247160247
0.34,0.264213428
0.07,0.110417719
0.17,0.111828107
0.17,0.289965826
0.34,0.363254009
0.07,0.139100681
0.35,0.159826462
0.04,0.10959096
1,0.976047435
0.48,0.319049871
0.03,0.105920949
0.07,0.115571653
0.05,0.107165057
0.12,0.237570852
0.04,0.123424287
0.08,0.128038551
0.1,0.112500164
0,0.100381264
0.04,0.09918987
0.02,0.121380681
0.18,0.157071579
0.58,0.594136156
0.08,0.174162889
0.04,0.108642185
0.09,0.077708513
0.06,0.103885979
0.08,0.133652613
0.08,0.109484943
0.1,0.13201922
0.03,0.109356799
0.28,0.18034342
0.06,0.112487838
0.04,0.105874942
0.03,0.136754813
0.07,0.086745905
0.41,0.212529427
0.22,0.271654026
1,0.933112221
0.1,0.136865366
0.06,0.140435543
0.45,0.440489128
0.32,0.409236136
0.14,0.224159235
0.09,0.138006979
0.07,0.133188177
0.6,0.569718304
0.18,0.319340128
0.03,0.118770747
0.04,0.113425078
0.51,0.375917197
0.83,0.108589653
0.02,0.102768748
0.08,0.160579899
0.26,0.464860164
0.23,0.239973299
0.49,0.57105618
0.03,0.1300139
0.04,0.108397936
0.15,0.140021253
0.54,0.50582384
0.31,0.263950808
0.39,0.298759088
0.43,0.263678009
0.5,0.303532874
0.03,0.100648014
0.08,0.069940703
0.04,0.128650559
0.22,0.301394869
0.58,0.394574847
0.01,0.093073159
0.1,0.101530808
0.39,0.352586875
0.09,0.167901415
0.18,0.417299591
0.8,0.699651108
1,0.37103762
0.4,0.700054775
0.05,0.344241871
0.21,0.331084006
0.68,0.290616427
0.32,0.456126625
0.2,0.152141648
0.62,0.401756102
0.53,0.530353934
0.25,0.316824573
1,1.006161661
0.2,0.263832174
0.21,0.241686044
1,0.90020966
0.1,0.170859816
0.14,0.103407182
0.01,0.101413865
0.13,0.12005056
0.22,0.120103931
0.1,0.202268933
1,0.608336784
0.69,0.178608135
0.06,0.082299042
0.66,0.358198777
0.03,0.110425658
0.16,0.238203989
0,0.065730386
0.76,0.523785306
0.71,0.200104759
0.42,0.491003549
0.03,0.130320807
0.53,0.760909257
0.06,0.114183811
0.18,0.515457258
0.04,0.114985277
0.1,0.135494558
0.06,0.19892816
0.04,0.089075172
0.16,0.302594535
0.24,0.257671026
0.2,0.147509151
0.35,0.280928951
0.04,0.114179053
0.05,0.099865426
0.72,0.807888847
0.06,0.161367593
0.62,0.26665974
1,0.802025585
0.03,0.103711894
0.05,0.09927722
0.63,0.417493667
0.05,0.104297901
0.2,0.305761753
0.07,0.298902075
0.64,0.613295344
0.1,0.114347896
0.11,0.121049681
1,0.900106316
0.07,0.197631572
0.02,0.094865383
0.55,0.527771025
0.04,0.104200953
1,0.520429418
0.37,0.208566892
0.33,0.374790897
0.09,0.159223111
0.28,0.123205499
0.12,0.148976248
0.15,0.194555852
0.03,0.135585135
0.22,0.324894796
0.05,0.111124279
0.78,0.457828324
0.46,0.318721534
0.34,0.415832505
0.22,0.275759357
0.14,0.334730817
0.37,0.346751712
0.06,0.097303518
0.24,0.295993361
0.4,0.151005812
0.22,0.156310937
0.69,0.410578865
0.11,0.211498223
0.02,0.100704004
0.25,0.46312816
0.1,0.14125939
0.05,0.207930698
0.16,0.259579625
0.04,0.104966171
0.01,0.100907841
0.29,0.51069256
0.1,0.103919069
0.05,0.102848584
0.36,0.530328498
0.22,0.345094387
0.17,0.266993706
0.15,0.291182213
0.14,0.088620057
1,0.803019786
0.1,0.114814021
0.24,0.193552957
0.12,0.109906148
0.04,0.114807683
0.21,0.342348372
0.7,0.619185306
0.13,0.393875933
0.13,0.159149982
0.24,0.405039408
0.04,0.095824545
0.14,0.110261156
0.22,0.268991887
0.17,0.221832046
0.22,0.237644148
0.21,0.151445522
0.03,0.113169912
0.2,0.17895769
0.09,0.137019172
0.11,0.17049582
0,0.093253403
0.13,0.150291462
0.17,0.141948391
0.46,0.526771265
0.24,0.314814587
0.08,0.1957602
0.66,0.435470803
0.25,0.539514204
0.07,0.145321015
0.56,0.469662188
0,0.103217314
0.04,0.135873147
0.15,0.110909596
0.41,0.509677368
0.2,0.169490339
0.06,0.132089102
0.2,0.2124642
0.05,0.103418069
0.18,0.291464541
0.07,0.108752562
0.91,0.474539728
0.15,0.201234745
0.13,0.179930874
0.03,0.12690498
0.05,0.09754648
0.36,0.55504427
0.86,0.481480915
0.11,0.146421525
0.18,0.143438221
0.06,0.087656037
0.28,0.179617946
0.01,0.103432802
0.05,0.143190592
0.52,0.587740565
0.21,0.298311004
0.04,0.101201942
0.55,0.450069251
0.01,0.122291629
0.36,0.352516304
0.36,0.213352178
0.07,0.120752409
0.85,0.980195369
0.08,0.080665127
0.12,0.109402739
0.25,0.267211687
1,0.825737477
0.04,0.122053659
0.36,0.194082507
0.41,0.211441102
0.33,0.38418865
0.33,0.257546778
0.19,0.1226946
0.14,0.144831881
0.07,0.142243212
0.15,0.174283684
0.08,0.113208715
0.1,0.123041462
0.04,0.122072497
0.04,0.105328717
0.08,0.153636975
0.14,0.176127815
0.04,0.083119075
0.16,0.101578519
0.27,0.210351834
0.13,0.173937623
0.09,0.108031712
0.09,0.110177562
0.56,0.649700882
0.52,0.217030675
0.12,0.156498435
0.12,0.132713759
0.41,0.449593492
0.87,0.790861116
0.01,0.094512225
0.06,0.108374632
0.03,0.096521029
0.11,0.236449758
0.15,0.315081202
0.24,0.210764534
0.21,0.362986822
0.03,0.277780345
0.87,0.828124866
0.39,0.483348869
0.23,0.130015517
0.1,0.151538056
0.59,0.586382215
0.24,0.114710708
0.13,0.292233796
0.11,0.139308436
0.59,0.293210975
0.01,0.10180053
0.41,0.268453263
0.13,0.271661381
0.24,0.171740823
0.1,0.196737982
0.4,0.270876178
0.82,0.133836956
0.09,0.113643195
0.18,0.161314626
0.16,0.465161425
0.13,0.123571909
0.33,0.429728555
0.06,0.133159484
0.1,0.104109245
0.04,0.114114609
0.23,0.492927058
0.08,0.160280056
0.1,0.148544035
0.01,0.107499679
0.1,0.23491644
0.17,0.111326803
0.89,0.81412524
0.85,0.749927544
0.14,0.21252495
0.32,0.508723639
0.03,0.188837645
0.09,0.11257487
0.2,0.099652325
0.54,0.383329253
0.15,0.176306256
0.18,0.148480531
0.24,0.298285387
0.94,0.862017467
0.65,0.14130917
0.06,0.10386276
0.05,0.101599355
0.26,0.143549142
0.12,0.22661883
0.03,0.093382602
0.41,0.413258078
0.01,0.132745435
0.15,0.10295444
0.15,0.134722316
0.04,0.108703572
0.03,0.100753292
0.06,0.157738711
0.09,0.105922335
0.28,0.187494725
0.07,0.103816016
0.16,0.153093919
0.41,0.11429713
0.22,0.209325775
0.03,0.10006193
0.35,0.370494651
0.63,0.529850582
0.09,0.190018859
0.25,0.264158872
0.22,0.166231022
1,0.899937967
0.36,0.54408639
0.81,0.749203973
0.27,0.386513161
0.07,0.110682785
0.04,0.132860837
0.61,0.37084133
0.24,0.494328344
0.95,0.709007384
0.81,0.609223595
0.12,0.181935901
1,1.021521181
0.05,0.109432022
0.38,0.492766358
0.37,0.399456065
0.53,0.71617155
0.23,0.18425048
0.26,0.305189615
0.04,0.110633375
0.18,0.189200128
0.62,0.519929583
0.5,0.298822371
0.14,0.11376598
0.06,0.104639971
0.54,0.606789093
0.61,0.709970642
0.35,0.769136981
0.38,0.289408409
0.72,0.740603408
0.04,0.099923876
0.09,0.218326146
0.51,0.310730789
0.54,0.543863173
0.45,0.531694406
0.1,0.219048279
0.07,0.248554236
0.01,0.104782844
0.16,0.197905731
0.29,0.181799113
0.42,0.319086142
0.18,0.243176772
0.36,0.284567612
0.1,0.120014816
0.03,0.098092919
0.62,0.46338461
0.08,0.112102291
0.12,0.180479908
0.23,0.164029724
0.18,0.151441705
0.28,0.274525239
0.09,0.085779678
0.2,0.199761375
0.09,0.127038653
0.16,0.1448944
0.06,0.111065303
0.23,0.17607692
0.82,0.605789225
0.15,0.146903136
0.02,0.089335792
0.9,0.876324187
0.34,0.667596348
0.01,0.137003357
0.21,0.313425473
0.06,0.137424376
0.59,0.241979132
0.66,0.760005796
0.2,0.214238691
0.1,0.124806911
0.4,0.448194569
0.17,0.231669665
0.04,0.114003328
0.28,0.271974439
0.13,0.137961249
0.27,0.37012595
0.23,0.113648192
0.59,0.482663718
0.12,0.269856793
0.01,0.10584464
0.23,0.293825348
0.02,0.097163461
0.17,0.129149444
0.07,0.091858181
0.05,0.107050654
0.12,0.22833834
0.1,0.175451433
0.11,0.22422485
0.1,0.091706352
0.11,0.115568663
0.16,0.207361744
0.05,0.122341858
0.24,0.227090745
0.33,0.350296247
0.19,0.109049866
0.19,0.249877973
0.21,0.14661903
0.16,0.131392131
0.19,0.313921676
0.04,0.109202193
0.05,0.125130218
0.34,0.324027476
0.23,0.329693291
0.1,0.120983932
0.24,0.359619883
0.52,0.36366701
0.03,0.087930833
0.36,0.426186766
0,0.128294425
0.24,0.177445199
0.3,0.197466023
1,0.908706763
0.43,0.383376516
0.11,0.142719028
0.41,0.194621695
0.22,0.407140105
0.7,0.508001532
0.1,0.179977632
0.61,0.544783929
0.06,0.126994811
0.12,0.131705442
0.41,0.34422032
0.04,0.109813377
0.01,0.095421999
0.04,0.094049394
0.18,0.343067523
0.47,0.466508748
0.03,0.104105388
0.21,0.10966807
0.13,0.187910514
0.25,0.202211717
0.02,0.093712439
0.08,0.185573635
0.05,0.097198993
0.05,0.168441692
0.02,0.109076009
0.27,0.382377405
0.06,0.147556858
0.5,0.399720447
0.28,0.370062093
0.12,0.162789307
0.1,0.13635083
0.09,0.153930909
0.21,0.274889652
0.02,0.120246933
1,0.694415058
0.24,0.324672853
0.13,0.178147853
0.1,0.142767872
0.12,0.226477417
0.06,0.111830518
0.12,0.156123207
0.06,0.084760017
0.22,0.10469724
0.15,0.305223586
0.03,0.120172971
0.3,0.690481947
0.02,0.188776795
0.05,0.147226752
0.02,0.097641788
0.02,0.107018132
0.07,0.135127521
0.26,0.302457015
1,0.627016999
0.35,0.229650447
0.08,0.129531049
0.03,0.098692502
0.02,0.098760559
0.03,0.098588752
0.11,0.110280822
0.29,0.287645151
0.79,0.408874116
0.13,0.201326004
0.02,0.120375997
0.01,0.110328729
0.23,0.231551974
1,0.846377694
0.33,0.232621163
0.58,0.37157831
0.18,0.186779394
0.5,0.457284673
0.4,0.302090306
0.34,0.225831138
0.05,0.108945266
0.04,0.097168181
0.06,0.160292951
0.04,0.106434919
0.05,0.134865167
0.01,0.099600123
0.31,0.205209601
0.62,0.528721105
0.2,0.246344324
0.6,0.467492077
0.97,0.456694417
0.28,0.236022418
0.13,0.112743156
0.07,0.242235363
0.26,0.250314257
0.07,0.102017651
0.29,0.18999823
0.04,0.157481774
0.85,0.505725418
0.76,0.623723106
0.17,0.328571713
0.65,0.46032403
0.54,0.590573585
0.36,0.380207348
0.13,0.090179072
0.18,0.109359658
0.35,0.412699284
0.06,0.132587179
0.28,0.329784197
0.28,0.180626411
0.08,0.122352412
0.14,0.116419853
0.1,0.140970222
0.06,0.150067321
0.06,0.115535741
0.48,0.386561813
0.09,0.150594108
0.19,0.284205164
0.26,0.268421603
0.02,0.09392211
0.08,0.105193975
0.22,0.172534761
0.2,0.102692251
0.03,0.113382682
0.03,0.094529439
0.02,0.092723996
0.11,0.160123959
0.08,0.16089183
0.24,0.157854137
0.22,0.23750656
0.5,0.226587876
0.26,0.308855289
0.09,0.131857621
0.02,0.072273247
0.55,0.128275254
0.18,0.123609928
0.09,0.123483213
0.09,0.125522177
0.46,0.38379656
0.04,0.120809656
0.07,0.106229449
1,0.712171224
0.04,0.095872354
0.04,0.116921388
0.13,0.096746215
0.16,0.299293061
0.04,0.139340729
0.12,0.07713259
0.09,0.091918587
0.53,0.507162372
0.14,0.12015939
0.1,0.185931814
0.45,0.425097358
0.03,0.106889572
0.28,0.113226198
0.15,0.133848044
0.39,0.231281818
0.03,0.116121955
0.23,0.253908433
0.1,0.246009498
0.22,0.248233925
0.26,0.190425952
0.03,0.104529978
0.43,0.401438918
0.11,0.14501014
0.1,0.118619112
0.03,0.10863788
0.07,0.101090882
0.16,0.14345995
0.06,0.101448523
0.18,0.136440785
0.06,0.109920783
0.2,0.13956672
0.14,0.248075116
0.15,0.154068263
0.04,0.114436864
0.16,0.30644651
0.64,0.739575276
0.2,0.100022287
0.65,0.434266055
0.17,0.211848017
0.14,0.160029413
0.27,0.115289296
0.12,0.179259601
0.74,0.356400723
0.73,0.619188619
0.24,0.17818659
1,0.840478176
0.03,0.130408588
1,0.430650156
0.21,0.327990753
0.25,0.517952162
0.26,0.226044314
0.51,0.474119447
0.01,0.101556048
0.03,0.096225839
0.01,0.079119503
0.16,0.203725516
0.52,0.583338214
0.1,0.13557898
0.24,0.188596766
0.3,0.261564212
0.69,0.790202972
0.09,0.102585838
0.22,0.119882034
0.65,0.672692004
0.17,0.125094277
0.09,0.123118127
0.77,0.870461161
0.33,0.523127094
0.38,0.602897166
0.07,0.127535146
0.19,0.170309482
0.09,0.132831084
0.21,0.238168818
0.08,0.134778544
0.1,0.117323264
0.05,0.105122626
0.23,0.276459024
0.08,0.105988504
0.02,0.091079784
0.08,0.111041978
0.12,0.149111246
0.4,0.450135968
0.45,0.254786622
0.05,0.089090969
0.03,0.091352895
0.36,0.373113552
0.08,0.120105309
0.07,0.149549542
1,0.89021316
0.04,0.101493282
0.06,0.130708782
1,0.427892754
0.2,0.247008684
0.14,0.187039552
0.48,0.49611312
0.13,0.033640776
0.67,0.744540936
0.04,0.109770252
0.49,0.282474764
0.05,0.105394869
0.02,0.091307526
0.39,0.398133946
0.29,0.481595726
0.02,0.094037266
0.25,0.228101016
0.23,0.290725205
0.01,0.095299691
0.12,0.170488042
0.1,0.225683944
0.04,0.11579451
0.14,0.471693601
0.2,0.290732726
0.13,0.148937188
0.03,0.11992535
0.11,0.165086639
1,0.560074891
0.28,0.099641196
0.01,0.110352907
0.24,0.213386711
0.43,0.465944333
0.2,0.22778627
0.08,0.110018992
0.04,0.086075584
0.07,0.145200959
0.05,0.150007719
0.04,0.084515481
0.02,0.098555431
0.4,0.156197219
0.16,0.147458266
0.57,0.42417387
0.2,0.306720189
1,0.900079729
0.02,0.095353453
0.08,0.125171426
1,0.990005697
0.06,0.104289118
0.07,0.079807988
0.08,0.115870877
0.05,0.108588355
0.02,0.166826312
0.13,0.210692322
0.45,0.467000623
0.44,0.55327847
0.45,0.397672777
0.39,0.289964864
0.26,0.298519912
1,0.798554576
0.32,0.121124421
0.3,0.342471863
0.31,0.266272461
0.27,0.472311039
0.11,0.097156725
0.07,0.111380312
0.09,0.161167914
0.26,0.347670023
0.17,0.269785304
0.07,0.118586919
0.31,0.285588183
0.07,0.109868987
0.33,0.455120164
0.15,0.167603744
0.21,0.235111087
0.1,0.17336411
0.51,0.466317795
0.17,0.143501017
0.09,0.127228028
0.03,0.100658969
0.15,0.149580785
0.17,0.176129449
0.14,0.141994856
0.03,0.126804947
0.34,0.158915421
0.05,0.114028375
0.24,0.135020467
0.07,0.126860923
0.33,0.278726314
0.09,0.185023137
0.11,0.127205239
0.1,0.104102276
0.02,0.105938457
0.25,0.25888141
0.37,0.452395964
0.07,0.117447114
0.71,0.610007017
0.18,0.161004167
0.28,0.395026277
0.44,0.130164067
0.09,0.123453559
0.19,0.150567479
0.28,0.390637013
0.03,0.100509984
0.04,0.091473064
0.32,0.126729262
0.19,0.420274578
0.16,0.247871818
0.09,0.188963444
0.05,0.161542589
0.11,0.15211029
0.36,0.414787965
0.09,0.114427044
0.03,0.123169898
0.05,0.103789854
0.05,0.1053019
0.13,0.107212836
0.05,0.095837344
0.12,0.178359537
0.47,0.305796213
0.17,0.190130777
0.17,0.137420624
1,0.724152818
0.2,0.177196267
0.08,0.104716187
0.09,0.219838929
0.1,0.167489419
0.03,0.004857451
0.71,0.508000758
0.17,0.269697551
0.02,0.083568843
0.2,0.256667349
0.38,0.206271826
0.09,0.177743212
0.06,0.154028054
0.05,0.082620763
0.05,0.118291072
1,1.100139106
0.21,0.177364101
0.29,0.242934821
0.04,0.132670788
0.12,0.187514466
0.06,0.13271674
0.21,0.159036257
0.06,0.132415795
0.51,0.409720966
0.07,0.129652008
0.21,0.212676908
0.39,0.165426683
0.66,0.605030416
0.03,0.121647747
0.06,0.092899112
0.53,0.628106445
0.08,0.138999487
0.59,0.372962674
0.12,0.115301355
0.29,0.302440966
1,0.75606668
0.03,0.125740375
0.29,0.249570652
0.38,0.291473213
0.06,0.09326645
1,1.024658894
0.3,0.290365681
0.16,0.132051322
0.29,0.134396036
0.02,0.092329102
0.19,0.290275328
0.38,0.476964945
0.31,0.285959738
0.07,0.122218648
0.11,0.194247889
0.6,0.332104564
0.54,0.321328094
0.45,0.497094529
0.22,0.162301721
0.02,0.107024143
0,0.064635091
0.22,0.1941699
0.13,0.165899084
0.06,0.152905613
0.11,0.107131185
0.03,0.104774528
0.69,0.66817353
0.19,0.188768499
0.69,0.590151016
0.41,0.392881735
0.08,0.097537769
0.31,0.256863889
0.08,0.10743909
0.45,0.550138083
0.2,0.10333035
0.19,0.167871596
0.03,0.133196658
0.15,0.12598209
0.54,0.37043511
0.02,0.102303947
0.1,0.225668747
0.31,0.099699078
0.65,0.582244205
0.06,0.124822103
0.02,0.076322237
0.06,0.145227141
0.82,0.542701967
0.02,0.119863881
0.14,0.208314845
0.03,0.088795814
0.4,0.151674341
0.05,0.094359517
0.12,0.136136377
0.61,0.44388285
1,0.78489882
0.15,0.112281946
0.09,0.139954403
0.76,0.504545186
0.02,0.10078934
0.06,0.100920335
0.03,0.100801743
0.06,0.134503356
0.2,0.344688693
0.25,0.436165189
0.07,0.100928486
0.06,0.112308049
0.19,0.490663951
0.06,0.097250573
0.16,0.220002596
0.19,0.296804739
0.14,0.154127994
0.18,0.090122316
0.11,0.152880266
0.22,0.135308577
0.03,0.105073775
0.33,0.378745132
0,0.199615437
0.01,0.125069964
0.37,0.269740145
0.15,0.209086264
0.04,0.100864855
0.35,0.223866051
0.1,0.161946177
0.46,0.425854136
0.04,0.097535207
0.18,0.233600165
0.4,0.428779358
0.06,0.126861117
0.01,0.102388356
0.03,0.082695186
0.52,0.620233647
0.03,0.113766591
0.27,0.333922179
0.11,0.200266033
0.03,0.095011098
0.17,0.105102235
0.47,0.448112979
0.22,0.14926008
0.06,0.156509221
0.39,0.397550467
0.12,0.126336188
0.02,0.095237749
0.26,0.117089165
0.55,0.419030743
0.21,0.236760873
0.12,0.210692229
0.1,0.154174535
0.41,0.468908589
0.84,0.887739731
0.18,0.296319053
0.04,0.128018766
0.34,0.374070114
0.07,0.095524856
0.05,0.150148646
0.02,0.099461949
0.31,0.4130481
0.97,0.947688465
0.33,0.336746818
0.12,0.148723904
1,0.479849009
0.96,0.454963916
0.25,0.245533555
0.03,0.092269035
0.12,0.086049307
0.14,0.201031499
0.52,0.505434683
0.05,0.150449866
0.09,0.104761783
0.14,0.219091621
0.36,0.419067293
0.04,0.113476346
0.59,0.62258553
0.49,0.134857442
0.53,0.397031685
0.06,0.168432681
0.19,0.147166337
0.28,0.332804571
0.14,0.228655681
0.9,0.40697501
0.05,0.184836137
0.15,0.16636386
1,0.623812195
0.21,0.309893218
0.02,0.050963645
0.07,0.127064533
0.21,0.420421495
0.21,0.295699932
0.4,0.345079762
0.04,0.11009617
0.31,0.251859593
0.2,0.123389365
0.05,0.142440949
0.54,0.44821041
0.54,0.516936577
0.11,0.210361549
0.13,0.134999977
0.42,0.454559775
0.06,0.142864746
0.7,0.594898812
0.45,0.472621073
0.15,0.094058391
0.15,0.120753488
0.12,0.159290032
0.11,0.097531143
0.03,0.094465879
0.09,0.174399365
0.3,0.30750924
0.39,0.273844417
0.05,0.100535958
0.03,0.13004033
0.22,0.201148229
0.33,0.243964794
0.83,0.310380749
0.11,0.268232712
0.07,0.093721753
0.28,0.337570253
0.02,0.09241304
0.41,0.316616292
0.12,0.273136517
0.34,0.323481389
0.07,0.112666957
0.05,0.089757739
0.12,0.145807042
0.04,0.084777513
0.3,0.293173669
0.06,0.14722292
0.09,0.136144406
0.42,0.596530009
0.02,0.121887421
0.1,0.199578659
0.07,0.131586216
0.11,0.137993152
0.03,0.147811422
0.06,0.09822682
0.03,0.11029817
0.11,0.101614911
0.52,0.464754153
0.25,0.419995138
0.11,0.128374026
0.82,0.719642859
0.14,0.240250554
0.08,0.128509975
0.02,0.073381998
0.27,0.169885211
0.15,0.236676014
0.16,0.258557821
0.47,0.282191932
0.12,0.279310824
0.26,0.177750817
0.02,0.098399618
1,1.048220707
0.06,0.10532415
0.31,0.195434858
0.19,0.220495066
0.06,0.105655182
0.14,0.274964096
0.35,0.442404094
0.02,0.091927573
0.36,0.30241647
0.39,0.311976139
0.12,0.13360298
0.13,0.16005743
0.57,0.483360973
0.07,0.119007235
0.59,0.622997811
0.31,0.409836841
0.34,0.36736733
0.02,0.092930659
0.47,0.166078635
0.16,0.184875417
0.15,0.151851832
0.05,0.112232342
0.15,0.196447287
0.04,0.10055789
0.12,0.302063841
0.39,0.471636962
0.18,0.11418549
0.1,0.096083421
0.86,0.790892876
0.29,0.414856342
0.07,0.106915439
0.06,0.087656283
0.2,0.380820377
0.6,0.438021405
0.14,0.199470607
0.12,0.170199307
0.04,0.096164463
0.12,0.14696672
0.36,0.501561886
0.1,0.159227733
0.27,0.316752776
0.02,0.106868549
0.01,0.086734592
